bucket,n_obs,reversal_rate,baseline,lift,ci_lo,ci_hi,arm
"[0,10)",203486,0.4912917842013701,0.49224218034905753,-0.0009503961476874379,-0.00258867543410152,0.0006543711471984694,suppress
"[10,20)",8583,0.4962134451823372,0.490002340539696,0.006211104642641185,-0.009745723062872632,0.022790880956495847,suppress
"[20,30)",18742,0.49962650730978553,0.4935453176178645,0.006081189691921007,-0.009213467769574081,0.020614907211813742,suppress
"[30,40)",2651,0.4971708789136175,0.4903025959898026,0.006868282923814917,-0.025193939907206298,0.03751396247284642,suppress
"[40,50)",991,0.5025227043390514,0.4924890058710305,0.010033698468020935,-0.03348694837505533,0.058622153575441184,suppress
"[50,60)",577,0.4852686308492201,0.4951988146587262,-0.00993018380950611,-0.06509819147473074,0.052236658073659376,suppress
"[60,100]",184,0.5108695652173914,0.4908301902184903,0.02003937499890107,-0.09358327816571635,0.14849696401863935,suppress
"[0,10)",192018,0.49068316511993665,0.49236995537583805,-0.0016867902559014047,-0.0040199035023655,0.0005998659241838627,off
"[10,20)",11483,0.4993468605765044,0.49008815863538985,0.009258701941114555,-0.00457992935016087,0.02383345914093237,off
"[20,30)",23965,0.49935322345086586,0.4927651261064908,0.0065880973443750435,-0.0067214098636710655,0.019964803829677483,off
"[30,40)",4430,0.49435665914221216,0.4896598660280842,0.004696793114127962,-0.02592032253892918,0.03579114547524082,off
"[40,50)",1795,0.5114206128133705,0.49197919039666793,0.019441422416702547,-0.01717970556368713,0.06076468994742381,off
"[50,60)",1164,0.5008591065292096,0.4935572582594068,0.007301848269802846,-0.03282946328022763,0.05697914078179149,off
"[60,100]",359,0.479108635097493,0.4916736323390562,-0.01256499724156318,-0.08595414117425441,0.07718751600739836,off
