pair,side,date,month,z,hit,base_z,base_hit
EURUSD,top,2011-02-28,2011-02,-0.6800010215482887,0.0,0.020768141202771706,0.515597539543058
EURUSD,top,2014-03-24,2014-03,0.4695508406539766,1.0,0.020768141202771706,0.515597539543058
EURUSD,top,2017-06-26,2017-06,-1.7076744755470512,0.0,0.020768141202771706,0.515597539543058
EURUSD,top,2017-11-13,2017-11,-1.5239577575249723,0.0,0.020768141202771706,0.515597539543058
EURUSD,top,2018-03-19,2018-03,1.0172607449247293,1.0,0.020768141202771706,0.515597539543058
EURUSD,top,2020-06-22,2020-06,-1.4962898888947482,0.0,0.020768141202771706,0.515597539543058
EURUSD,top,2020-12-14,2020-12,0.43066580043629743,1.0,0.020768141202771706,0.515597539543058
EURUSD,bottom,2009-12-21,2009-12,-1.0722728918951894,0.0,-0.020768141202771706,0.48396309314586994
EURUSD,bottom,2011-09-26,2011-09,-0.9466826169359582,0.0,-0.020768141202771706,0.48396309314586994
EURUSD,bottom,2012-05-28,2012-05,-0.47315596649967423,0.0,-0.020768141202771706,0.48396309314586994
EURUSD,bottom,2014-09-22,2014-09,-0.7400173041201485,0.0,-0.020768141202771706,0.48396309314586994
EURUSD,bottom,2015-01-12,2015-01,-1.8417075297560621,0.0,-0.020768141202771706,0.48396309314586994
GBPUSD,top,2011-02-14,2011-02,-0.6477548748788842,0.0,0.0019009025940355476,0.4890158172231986
GBPUSD,top,2012-10-01,2012-10,-0.050346512823914474,0.0,0.0019009025940355476,0.4890158172231986
GBPUSD,top,2014-03-24,2014-03,-0.750314396497899,0.0,0.0019009025940355476,0.4890158172231986
GBPUSD,top,2017-09-25,2017-09,0.23759561798582876,1.0,0.0019009025940355476,0.4890158172231986
GBPUSD,top,2018-03-05,2018-03,0.8937807800205478,1.0,0.0019009025940355476,0.4890158172231986
GBPUSD,top,2021-01-18,2021-01,-0.25584118570684766,0.0,0.0019009025940355476,0.4890158172231986
GBPUSD,top,2024-01-22,2024-01,0.4756369011552902,1.0,0.0019009025940355476,0.4890158172231986
GBPUSD,top,2024-09-23,2024-09,1.308313110142309,1.0,0.0019009025940355476,0.4890158172231986
GBPUSD,bottom,2010-01-11,2010-01,-1.2830602570930973,0.0,-0.0019009025940355476,0.5109841827768014
GBPUSD,bottom,2010-05-10,2010-05,1.7548307126865992,1.0,-0.0019009025940355476,0.5109841827768014
GBPUSD,bottom,2011-09-26,2011-09,0.052071445825315366,1.0,-0.0019009025940355476,0.5109841827768014
GBPUSD,bottom,2013-03-25,2013-03,0.7937411763137903,1.0,-0.0019009025940355476,0.5109841827768014
GBPUSD,bottom,2015-01-19,2015-01,-0.8402359791659164,0.0,-0.0019009025940355476,0.5109841827768014
GBPUSD,bottom,2021-12-27,2021-12,-0.4608623958553711,0.0,-0.0019009025940355476,0.5109841827768014
GBPUSD,bottom,2022-05-16,2022-05,-0.41184347708280655,0.0,-0.0019009025940355476,0.5109841827768014
USDJPY,top,2010-04-05,2010-04,1.115548349724428,1.0,-0.17301196098392554,0.4380764163372859
USDJPY,top,2012-03-19,2012-03,1.0216088237880694,1.0,-0.17301196098392554,0.4380764163372859
USDJPY,top,2013-03-25,2013-03,-0.07765429110188604,0.0,-0.17301196098392554,0.4380764163372859
USDJPY,top,2014-09-29,2014-09,-2.078499429635698,0.0,-0.17301196098392554,0.4380764163372859
USDJPY,top,2015-01-19,2015-01,-0.4701492178420947,0.0,-0.17301196098392554,0.4380764163372859
USDJPY,top,2015-06-15,2015-06,0.7214627483220359,1.0,-0.17301196098392554,0.4380764163372859
USDJPY,top,2021-10-22,2021-10,-0.14027751160989635,0.0,-0.17301196098392554,0.4380764163372859
USDJPY,top,2022-04-11,2022-04,-1.7741703346462685,0.0,-0.17301196098392554,0.4380764163372859
USDJPY,bottom,2020-06-22,2020-06,-0.23144145118655504,0.0,0.17301196098392554,0.5606060606060606
USDJPY,bottom,2020-09-21,2020-09,-0.1253810575888767,0.0,0.17301196098392554,0.5606060606060606
USDJPY,bottom,2024-09-23,2024-09,1.5756507831144977,1.0,0.17301196098392554,0.5606060606060606
USDJPY,bottom,2025-04-21,2025-04,1.047564539444595,1.0,0.17301196098392554,0.5606060606060606
USDJPY,bottom,2025-09-15,2025-09,1.2446528689524174,1.0,0.17301196098392554,0.5606060606060606
USDCAD,top,2011-10-03,2011-10,0.9632668627123747,1.0,-0.06282280034105579,0.46956329951477727
USDCAD,top,2012-07-23,2012-07,1.0924268641120274,1.0,-0.06282280034105579,0.46956329951477727
USDCAD,top,2013-03-25,2013-03,0.08050153601942842,1.0,-0.06282280034105579,0.46956329951477727
USDCAD,top,2015-03-16,2015-03,0.8344747123228596,1.0,-0.06282280034105579,0.46956329951477727
USDCAD,top,2015-08-10,2015-08,-0.2123002780347705,0.0,-0.06282280034105579,0.46956329951477727
USDCAD,bottom,2011-02-21,2011-02,-0.22706380545324353,0.0,0.06282280034105579,0.5284516982796648
USDCAD,bottom,2012-10-01,2012-10,0.3198446577573174,1.0,0.06282280034105579,0.5284516982796648
USDCAD,bottom,2017-07-31,2017-07,0.40706689642709665,1.0,0.06282280034105579,0.5284516982796648
USDCAD,bottom,2018-02-05,2018-02,0.7048603169462159,1.0,0.06282280034105579,0.5284516982796648
USDCAD,bottom,2021-01-04,2021-01,-0.43434255026400054,0.0,0.06282280034105579,0.5284516982796648
USDCAD,bottom,2026-03-09,2026-03,0.558822529063252,1.0,0.06282280034105579,0.5284516982796648
NZDUSD,top,2012-10-08,2012-10,-0.22134465499048253,0.0,-0.04267930550930957,0.49702183984116477
NZDUSD,top,2017-06-26,2017-06,0.061530285644374356,1.0,-0.04267930550930957,0.49702183984116477
NZDUSD,top,2017-10-23,2017-10,-0.9377571461428688,0.0,-0.04267930550930957,0.49702183984116477
NZDUSD,top,2018-04-16,2018-04,1.395676802559165,1.0,-0.04267930550930957,0.49702183984116477
NZDUSD,top,2020-08-24,2020-08,-1.126652227401738,0.0,-0.04267930550930957,0.49702183984116477
NZDUSD,top,2020-12-07,2020-12,-0.611963187988016,0.0,-0.04267930550930957,0.49702183984116477
NZDUSD,top,2024-03-04,2024-03,-0.17919035198886085,0.0,-0.04267930550930957,0.49702183984116477
NZDUSD,top,2025-06-30,2025-06,0.7291730021010333,1.0,-0.04267930550930957,0.49702183984116477
