study,pair,date,side,outcome,tie,k,bucket
score suppress,EURUSD,2010-05-04,bottom,continuation,False,9,3
score suppress,EURUSD,2011-04-11,top,continuation,False,15,3
score suppress,EURUSD,2011-12-14,bottom,timeout,False,20,2
score suppress,EURUSD,2017-06-30,top,continuation,False,18,3
score suppress,EURUSD,2018-01-03,top,continuation,False,16,3
score suppress,GBPUSD,2010-02-08,bottom,continuation,False,15,3
score suppress,GBPUSD,2010-05-14,bottom,timeout,False,20,3
score suppress,GBPUSD,2014-05-07,top,timeout,False,20,3
score suppress,GBPUSD,2018-01-15,top,continuation,False,7,3
score suppress,GBPUSD,2021-02-22,top,timeout,False,20,3
score suppress,GBPUSD,2022-06-15,bottom,timeout,False,20,3
score suppress,USDJPY,2012-11-15,top,continuation,False,19,3
score suppress,USDJPY,2020-07-28,bottom,timeout,False,20,3
score suppress,USDJPY,2020-12-16,bottom,timeout,False,20,2
score suppress,USDJPY,2021-03-01,top,continuation,False,6,3
score suppress,USDJPY,2021-11-23,top,reversal,False,5,3
score suppress,NZDUSD,2015-01-26,bottom,timeout,False,20,3
score suppress,NZDUSD,2021-02-19,top,reversal,False,10,3
score suppress,NZDUSD,2022-06-14,bottom,timeout,False,20,3
score suppress,AUDUSD,2009-10-12,top,timeout,False,20,3
score suppress,AUDUSD,2015-01-29,bottom,timeout,False,20,3
score suppress,AUDUSD,2017-07-17,top,continuation,False,8,3
score suppress,USDCHF,2011-03-16,bottom,timeout,False,20,3
score suppress,USDCHF,2020-12-03,bottom,timeout,False,20,3
score suppress,USDCHF,2021-01-06,bottom,reversal,False,3,2
score suppress,USDCHF,2022-06-13,top,reversal,False,9,3
score suppress,GBPJPY,2024-03-20,top,timeout,False,20,3
score suppress,CADJPY,2021-02-15,top,continuation,False,14,3
score suppress,CADJPY,2021-07-19,bottom,reversal,False,16,2
score suppress,AUDJPY,2010-04-05,top,timeout,False,20,3
score suppress,AUDJPY,2025-04-04,bottom,timeout,False,20,3
score suppress,NZDJPY,2025-04-04,bottom,timeout,False,20,3
score off,EURUSD,2010-01-29,bottom,timeout,False,20,3
score off,EURUSD,2010-05-04,bottom,continuation,False,9,3
score off,EURUSD,2010-06-04,bottom,timeout,False,20,3
score off,EURUSD,2011-04-11,top,continuation,False,15,3
score off,EURUSD,2011-12-14,bottom,timeout,False,20,2
score off,EURUSD,2014-09-29,bottom,timeout,False,20,3
score off,EURUSD,2015-03-06,bottom,continuation,False,3,3
score off,EURUSD,2017-06-30,top,continuation,False,18,3
score off,EURUSD,2018-01-03,top,continuation,False,16,3
score off,EURUSD,2020-07-27,top,timeout,False,20,3
score off,GBPUSD,2010-02-08,bottom,continuation,False,15,3
score off,GBPUSD,2010-05-14,bottom,timeout,False,20,3
score off,GBPUSD,2014-05-07,top,timeout,False,20,3
score off,GBPUSD,2014-10-15,bottom,timeout,False,20,3
score off,GBPUSD,2015-01-05,bottom,timeout,False,20,3
score off,GBPUSD,2018-01-15,top,continuation,False,7,3
score off,GBPUSD,2021-02-22,top,timeout,False,20,3
score off,GBPUSD,2022-06-15,bottom,timeout,False,20,3
score off,GBPUSD,2024-09-25,top,reversal,False,15,3
score off,USDJPY,2009-10-07,bottom,timeout,False,20,3
score off,USDJPY,2012-11-15,top,continuation,False,19,3
score off,USDJPY,2020-07-28,bottom,timeout,False,20,3
score off,USDJPY,2020-12-16,bottom,timeout,False,20,2
score off,USDJPY,2021-03-01,top,continuation,False,6,3
score off,USDJPY,2021-11-23,top,reversal,False,5,3
score off,USDCAD,2024-12-06,top,continuation,False,8,3
score off,NZDUSD,2015-01-26,bottom,timeout,False,20,3
score off,NZDUSD,2017-07-21,top,timeout,False,20,3
score off,NZDUSD,2020-03-12,bottom,continuation,False,4,3
score off,NZDUSD,2020-12-30,top,timeout,False,20,3
score off,NZDUSD,2021-02-19,top,reversal,False,10,3
score off,NZDUSD,2022-06-14,bottom,timeout,False,20,3
score off,AUDUSD,2009-10-12,top,timeout,False,20,3
score off,AUDUSD,2013-06-19,bottom,timeout,False,20,3
score off,AUDUSD,2015-01-29,bottom,timeout,False,20,3
score off,AUDUSD,2017-07-17,top,continuation,False,8,3
score off,USDCHF,2011-03-16,bottom,timeout,False,20,3
score off,USDCHF,2020-07-23,bottom,continuation,False,18,3
score off,USDCHF,2020-12-03,bottom,timeout,False,20,3
score off,USDCHF,2021-01-06,bottom,reversal,False,3,2
score off,USDCHF,2022-06-13,top,reversal,False,9,3
score off,EURJPY,2021-05-27,top,reversal,False,16,3
score off,GBPJPY,2013-12-27,top,timeout,False,20,3
score off,GBPJPY,2015-06-17,top,reversal,False,14,3
score off,GBPJPY,2016-02-11,bottom,timeout,False,20,3
score off,GBPJPY,2024-03-20,top,timeout,False,20,3
score off,CADJPY,2013-01-02,top,timeout,False,20,3
score off,CADJPY,2021-02-15,top,continuation,False,14,3
score off,CADJPY,2021-07-19,bottom,reversal,False,16,2
score off,AUDJPY,2010-04-05,top,timeout,False,20,3
score off,AUDJPY,2012-12-31,top,continuation,False,8,2
score off,AUDJPY,2019-06-13,bottom,reversal,False,12,2
score off,AUDJPY,2020-03-09,bottom,continuation,False,8,3
score off,AUDJPY,2025-04-04,bottom,timeout,False,20,3
score off,NZDJPY,2017-07-26,top,reversal,False,6,2
score off,NZDJPY,2025-04-04,bottom,timeout,False,20,3
single pct_b,EURUSD,2009-01-12,bottom,timeout,False,20,3
single pct_b,EURUSD,2009-02-17,bottom,timeout,False,20,2
single pct_b,EURUSD,2009-03-18,top,timeout,False,20,3
single pct_b,EURUSD,2009-04-20,bottom,reversal,False,14,3
single pct_b,EURUSD,2009-05-21,top,timeout,False,20,3
single pct_b,EURUSD,2009-07-20,top,timeout,False,20,2
single pct_b,EURUSD,2009-09-08,top,continuation,False,10,3
single pct_b,EURUSD,2009-11-25,top,reversal,False,12,3
single pct_b,EURUSD,2009-12-15,bottom,timeout,False,20,3
single pct_b,EURUSD,2010-01-13,top,reversal,False,4,2
single pct_b,EURUSD,2010-01-20,bottom,continuation,False,12,3
single pct_b,EURUSD,2010-03-12,top,reversal,False,8,2
single pct_b,EURUSD,2010-04-22,bottom,continuation,False,9,3
single pct_b,EURUSD,2010-06-04,bottom,timeout,False,20,3
single pct_b,EURUSD,2010-09-15,top,continuation,False,5,2
single pct_b,EURUSD,2010-11-04,top,reversal,False,4,2
single pct_b,EURUSD,2010-11-12,bottom,timeout,False,20,3
single pct_b,EURUSD,2011-01-07,bottom,reversal,False,8,2
single pct_b,EURUSD,2011-03-04,top,timeout,False,20,3
single pct_b,EURUSD,2011-04-11,top,continuation,False,15,3
single pct_b,EURUSD,2011-06-06,top,timeout,False,20,3
single pct_b,EURUSD,2011-07-12,bottom,timeout,False,20,2
single pct_b,EURUSD,2011-09-06,bottom,continuation,False,4,2
single pct_b,EURUSD,2011-10-17,top,timeout,False,20,3
single pct_b,EURUSD,2011-12-13,bottom,continuation,False,17,2
single pct_b,EURUSD,2012-01-06,bottom,reversal,False,16,2
single pct_b,EURUSD,2012-02-24,top,timeout,False,20,3
single pct_b,EURUSD,2012-05-07,bottom,continuation,False,13,3
single pct_b,EURUSD,2012-07-09,bottom,timeout,False,20,2
single pct_b,EURUSD,2012-08-22,top,continuation,False,15,3
single pct_b,EURUSD,2012-10-17,top,reversal,False,13,2
single pct_b,EURUSD,2012-12-05,top,timeout,False,20,3
single pct_b,EURUSD,2013-01-14,top,timeout,False,20,3
single pct_b,EURUSD,2013-02-22,bottom,timeout,False,20,3
single pct_b,EURUSD,2013-03-28,bottom,reversal,False,10,2
single pct_b,EURUSD,2013-04-12,top,timeout,False,20,3
single pct_b,EURUSD,2013-05-16,bottom,reversal,False,15,3
single pct_b,EURUSD,2013-06-07,top,timeout,False,20,3
single pct_b,EURUSD,2013-08-21,top,reversal,False,7,2
single pct_b,EURUSD,2013-09-02,bottom,reversal,False,13,2
single pct_b,EURUSD,2013-10-18,top,timeout,False,20,3
single pct_b,EURUSD,2013-12-09,top,timeout,False,20,3
single pct_b,EURUSD,2014-01-09,bottom,timeout,False,20,3
single pct_b,EURUSD,2014-03-07,top,timeout,False,20,2
single pct_b,EURUSD,2014-05-07,top,reversal,False,2,2
single pct_b,EURUSD,2014-05-14,bottom,continuation,False,16,2
single pct_b,EURUSD,2014-06-11,bottom,timeout,False,20,3
single pct_b,EURUSD,2014-07-17,bottom,continuation,False,13,2
single pct_b,EURUSD,2014-09-29,bottom,timeout,False,20,3
single pct_b,EURUSD,2014-11-03,bottom,timeout,False,20,2
single pct_b,EURUSD,2014-12-04,bottom,timeout,False,20,2
single pct_b,EURUSD,2015-02-27,bottom,continuation,False,5,2
single pct_b,EURUSD,2015-04-30,top,timeout,False,20,3
single pct_b,EURUSD,2015-06-29,bottom,timeout,False,20,2
single pct_b,EURUSD,2015-08-13,top,continuation,False,7,2
single pct_b,EURUSD,2015-10-15,top,reversal,False,6,3
single pct_b,EURUSD,2015-10-29,bottom,timeout,False,20,3
single pct_b,EURUSD,2015-12-04,top,reversal,False,1,0
single pct_b,EURUSD,2015-12-10,top,timeout,False,20,3
single pct_b,EURUSD,2016-02-04,top,timeout,False,20,2
single pct_b,EURUSD,2016-03-18,top,timeout,False,20,3
single pct_b,EURUSD,2016-05-02,top,reversal,False,13,2
single pct_b,EURUSD,2016-05-25,bottom,reversal,False,10,3
single pct_b,EURUSD,2016-06-27,bottom,timeout,False,20,2
single pct_b,EURUSD,2016-08-01,top,timeout,False,20,2
single pct_b,EURUSD,2016-10-07,bottom,continuation,False,3,1
single pct_b,EURUSD,2016-10-17,bottom,reversal,False,17,3
single pct_b,EURUSD,2016-11-15,bottom,timeout,False,20,3
single pct_b,EURUSD,2016-12-16,bottom,timeout,False,20,3
single pct_b,EURUSD,2017-01-18,top,timeout,False,20,3
single pct_b,EURUSD,2017-03-13,top,continuation,False,10,2
single pct_b,EURUSD,2017-04-24,top,continuation,False,19,3
single pct_b,EURUSD,2017-06-28,top,continuation,False,13,2
single pct_b,EURUSD,2017-08-28,top,timeout,False,20,2
single pct_b,EURUSD,2017-09-27,bottom,timeout,False,20,2
single pct_b,EURUSD,2017-10-27,bottom,reversal,False,19,2
single pct_b,EURUSD,2017-12-29,top,continuation,False,11,2
single pct_b,EURUSD,2018-03-27,top,timeout,False,20,2
single pct_b,EURUSD,2018-04-26,bottom,continuation,False,6,2
single pct_b,EURUSD,2018-05-29,bottom,timeout,False,20,3
single pct_b,EURUSD,2018-08-03,bottom,continuation,False,5,1
single pct_b,EURUSD,2018-09-21,top,reversal,False,7,2
single pct_b,EURUSD,2018-10-04,bottom,timeout,False,20,3
single pct_b,EURUSD,2018-11-13,bottom,timeout,False,20,3
single pct_b,EURUSD,2018-12-21,top,timeout,False,20,2
single pct_b,EURUSD,2019-02-12,bottom,timeout,False,20,3
single pct_b,EURUSD,2019-04-25,bottom,timeout,False,20,2
single pct_b,EURUSD,2019-05-30,bottom,reversal,False,3,2
single pct_b,EURUSD,2019-06-07,top,timeout,False,20,2
single pct_b,EURUSD,2019-08-01,bottom,timeout,False,20,3
single pct_b,EURUSD,2019-09-02,bottom,timeout,False,20,2
single pct_b,EURUSD,2019-10-01,bottom,reversal,False,12,3
single pct_b,EURUSD,2019-10-18,top,timeout,False,20,3
single pct_b,EURUSD,2019-12-12,top,timeout,False,20,3
single pct_b,EURUSD,2020-01-27,bottom,continuation,False,13,2
single pct_b,EURUSD,2020-03-03,top,reversal,False,12,3
single pct_b,EURUSD,2020-03-20,bottom,timeout,False,20,3
single pct_b,EURUSD,2020-05-21,top,continuation,False,9,2
single pct_b,EURUSD,2020-07-15,top,continuation,False,7,2
single pct_b,EURUSD,2020-09-23,bottom,timeout,False,20,2
single pct_b,EURUSD,2020-11-02,bottom,reversal,False,4,2
single pct_b,EURUSD,2020-12-02,top,timeout,False,20,3
single pct_b,EURUSD,2021-01-18,bottom,timeout,False,20,3
single pct_b,EURUSD,2021-03-05,bottom,timeout,False,20,3
single pct_b,EURUSD,2021-04-20,top,timeout,False,20,3
single pct_b,EURUSD,2021-05-19,top,timeout,False,20,2
single pct_b,EURUSD,2021-06-17,bottom,timeout,False,20,3
single pct_b,EURUSD,2021-09-03,top,reversal,False,18,3
single pct_b,EURUSD,2021-09-30,bottom,timeout,False,20,3
single pct_b,EURUSD,2021-10-29,top,reversal,False,4,2
single pct_b,EURUSD,2021-11-11,bottom,continuation,False,4,2
single pct_b,EURUSD,2022-01-13,top,reversal,False,8,2
single pct_b,EURUSD,2022-01-28,bottom,reversal,False,5,3
single pct_b,EURUSD,2022-02-28,bottom,continuation,False,5,3
single pct_b,EURUSD,2022-04-27,bottom,timeout,False,20,3
single pct_b,EURUSD,2022-06-14,bottom,continuation,False,20,3
single pct_b,EURUSD,2022-08-12,top,reversal,False,5,1
single pct_b,EURUSD,2022-09-22,bottom,timeout,False,20,3
single pct_b,EURUSD,2022-10-26,top,timeout,False,20,3
single pct_b,EURUSD,2022-12-13,top,timeout,False,20,3
single pct_b,EURUSD,2023-03-21,top,continuation,False,17,2
single pct_b,EURUSD,2023-05-11,bottom,continuation,False,10,2
single pct_b,EURUSD,2023-06-14,top,continuation,False,20,2
single pct_b,EURUSD,2023-08-24,bottom,timeout,False,20,3
single pct_b,EURUSD,2023-09-27,bottom,timeout,False,20,3
single pct_b,EURUSD,2023-11-03,top,continuation,False,17,3
single pct_b,EURUSD,2024-02-05,bottom,timeout,False,20,2
single pct_b,EURUSD,2024-03-07,top,reversal,False,15,2
single pct_b,EURUSD,2024-04-01,bottom,timeout,False,20,3
single pct_b,EURUSD,2024-05-15,top,timeout,False,20,3
single pct_b,EURUSD,2024-06-13,bottom,timeout,False,20,2
single pct_b,EURUSD,2024-08-13,top,timeout,False,20,3
single pct_b,EURUSD,2024-10-04,bottom,timeout,False,20,3
single pct_b,EURUSD,2024-11-06,bottom,continuation,False,12,3
single pct_b,EURUSD,2024-12-18,bottom,timeout,False,20,3
single pct_b,EURUSD,2025-03-04,top,timeout,False,20,3
single pct_b,EURUSD,2025-04-03,top,continuation,False,6,3
single pct_b,EURUSD,2025-05-12,bottom,timeout,False,20,3
single pct_b,EURUSD,2025-06-12,top,timeout,False,20,3
single pct_b,EURUSD,2025-07-29,bottom,timeout,False,20,3
single pct_b,EURUSD,2025-09-08,top,timeout,False,20,2
single pct_b,EURUSD,2025-10-09,bottom,timeout,False,20,3
single pct_b,EURUSD,2025-12-03,top,timeout,False,20,3
single pct_b,EURUSD,2026-01-07,bottom,reversal,False,12,2
single pct_b,EURUSD,2026-03-02,bottom,continuation,False,9,3
single pct_b,EURUSD,2026-04-08,top,timeout,False,20,2
single pct_b,EURUSD,2026-05-15,bottom,timeout,False,20,2
single pct_b,EURUSD,2026-06-17,bottom,timeout,False,20,2
single pct_b,EURUSD,2026-07-30,top,continuation,False,14,2
single pct_b,GBPUSD,2009-01-20,bottom,timeout,False,20,3
single pct_b,GBPUSD,2009-03-09,bottom,reversal,False,11,3
single pct_b,GBPUSD,2009-05-06,top,continuation,False,11,3
single pct_b,GBPUSD,2009-07-07,bottom,reversal,False,19,2
single pct_b,GBPUSD,2009-10-21,top,timeout,False,20,3
single pct_b,GBPUSD,2009-12-08,bottom,timeout,False,20,3
single pct_b,GBPUSD,2010-01-13,top,reversal,False,16,2
single pct_b,GBPUSD,2010-02-25,bottom,timeout,False,20,3
single pct_b,GBPUSD,2010-05-04,bottom,continuation,False,2,2
single pct_b,GBPUSD,2010-05-13,bottom,timeout,False,20,3
single pct_b,GBPUSD,2010-06-15,top,timeout,False,20,2
single pct_b,GBPUSD,2010-07-15,top,reversal,False,3,1
single pct_b,GBPUSD,2010-07-23,top,continuation,False,7,2
single pct_b,GBPUSD,2010-09-16,top,continuation,False,15,2
single pct_b,GBPUSD,2010-11-05,top,reversal,False,15,3
single pct_b,GBPUSD,2010-11-29,bottom,timeout,False,20,3
single pct_b,GBPUSD,2011-01-13,top,continuation,False,13,2
single pct_b,GBPUSD,2011-03-03,top,reversal,False,17,2
single pct_b,GBPUSD,2011-06-23,bottom,timeout,False,20,3
single pct_b,GBPUSD,2011-07-22,top,timeout,False,20,3
single pct_b,GBPUSD,2011-09-07,bottom,timeout,False,20,3
single pct_b,GBPUSD,2011-10-17,top,timeout,False,20,3
single pct_b,GBPUSD,2011-11-17,bottom,timeout,False,20,2
single pct_b,GBPUSD,2011-12-29,bottom,timeout,False,20,2
single pct_b,GBPUSD,2012-04-20,top,reversal,False,19,2
single pct_b,GBPUSD,2012-05-24,bottom,continuation,False,6,3
single pct_b,GBPUSD,2012-08-23,top,timeout,False,20,3
single pct_b,GBPUSD,2012-10-09,bottom,timeout,False,20,2
single pct_b,GBPUSD,2012-11-12,bottom,timeout,False,20,2
single pct_b,GBPUSD,2012-12-18,top,timeout,False,20,3
single pct_b,GBPUSD,2013-01-21,bottom,continuation,False,17,2
single pct_b,GBPUSD,2013-02-14,bottom,continuation,False,5,2
single pct_b,GBPUSD,2013-04-08,top,timeout,False,20,3
single pct_b,GBPUSD,2013-05-23,bottom,reversal,False,10,3
single pct_b,GBPUSD,2013-06-07,top,reversal,False,20,3
single pct_b,GBPUSD,2013-08-08,top,timeout,False,20,3
single pct_b,GBPUSD,2013-09-11,top,continuation,False,6,2
single pct_b,GBPUSD,2013-11-25,top,timeout,False,20,3
single pct_b,GBPUSD,2013-12-30,top,timeout,False,20,2
single pct_b,GBPUSD,2014-02-17,top,timeout,False,20,3
single pct_b,GBPUSD,2014-03-20,bottom,reversal,False,15,2
single pct_b,GBPUSD,2014-05-07,top,timeout,False,20,3
single pct_b,GBPUSD,2014-06-13,top,timeout,False,20,3
single pct_b,GBPUSD,2014-07-25,bottom,continuation,False,10,2
single pct_b,GBPUSD,2014-08-14,bottom,continuation,False,16,3
single pct_b,GBPUSD,2014-10-06,bottom,timeout,False,20,3
single pct_b,GBPUSD,2014-11-07,bottom,timeout,False,20,2
single pct_b,GBPUSD,2014-12-24,bottom,continuation,False,8,2
single pct_b,GBPUSD,2015-02-06,top,timeout,False,20,2
single pct_b,GBPUSD,2015-03-09,bottom,timeout,False,20,3
single pct_b,GBPUSD,2015-04-13,bottom,reversal,False,4,2
single pct_b,GBPUSD,2015-04-27,top,continuation,False,13,3
single pct_b,GBPUSD,2015-06-18,top,timeout,False,20,3
single pct_b,GBPUSD,2015-08-25,top,reversal,False,2,2
single pct_b,GBPUSD,2015-08-28,bottom,timeout,False,20,1
single pct_b,GBPUSD,2015-11-06,bottom,timeout,False,20,2
single pct_b,GBPUSD,2015-12-18,bottom,continuation,False,13,2
single pct_b,GBPUSD,2016-02-23,bottom,timeout,False,20,3
single pct_b,GBPUSD,2016-04-27,top,timeout,False,20,3
single pct_b,GBPUSD,2016-06-13,bottom,reversal,False,6,3
single pct_b,GBPUSD,2016-06-27,bottom,timeout,False,20,3
single pct_b,GBPUSD,2016-08-15,bottom,reversal,False,15,2
single pct_b,GBPUSD,2016-09-07,top,reversal,False,18,3
single pct_b,GBPUSD,2016-10-05,bottom,continuation,False,5,3
single pct_b,GBPUSD,2016-11-04,top,timeout,False,20,2
single pct_b,GBPUSD,2016-12-05,top,reversal,False,13,2
single pct_b,GBPUSD,2017-01-16,bottom,reversal,False,5,2
single pct_b,GBPUSD,2017-01-24,top,timeout,False,20,3
single pct_b,GBPUSD,2017-03-02,bottom,timeout,False,20,3
single pct_b,GBPUSD,2017-04-19,top,timeout,False,20,3
single pct_b,GBPUSD,2017-05-29,bottom,timeout,False,20,2
single pct_b,GBPUSD,2017-06-30,top,timeout,False,20,3
single pct_b,GBPUSD,2017-08-01,top,reversal,False,15,3
single pct_b,GBPUSD,2017-09-08,top,continuation,False,5,3
single pct_b,GBPUSD,2017-11-03,bottom,reversal,False,13,2
single pct_b,GBPUSD,2017-11-30,top,timeout,False,20,3
single pct_b,GBPUSD,2018-01-01,top,continuation,False,10,2
single pct_b,GBPUSD,2018-01-19,top,continuation,False,4,3
single pct_b,GBPUSD,2018-03-22,top,timeout,False,20,3
single pct_b,GBPUSD,2018-04-30,bottom,timeout,False,20,3
single pct_b,GBPUSD,2018-06-20,bottom,timeout,False,20,2
single pct_b,GBPUSD,2018-07-20,bottom,continuation,False,18,2
single pct_b,GBPUSD,2018-09-14,top,timeout,False,20,2
single pct_b,GBPUSD,2018-10-25,bottom,timeout,False,20,3
single pct_b,GBPUSD,2018-12-11,bottom,timeout,False,20,3
single pct_b,GBPUSD,2019-01-14,top,continuation,False,10,2
single pct_b,GBPUSD,2019-02-27,top,timeout,False,20,3
single pct_b,GBPUSD,2019-04-24,bottom,reversal,False,7,2
single pct_b,GBPUSD,2019-05-17,bottom,timeout,False,20,3
single pct_b,GBPUSD,2019-07-10,bottom,continuation,False,14,3
single pct_b,GBPUSD,2019-08-26,top,reversal,False,6,2
single pct_b,GBPUSD,2019-09-16,top,timeout,False,20,3
single pct_b,GBPUSD,2019-10-16,top,timeout,False,20,3
single pct_b,GBPUSD,2019-12-04,top,continuation,False,3,1
single pct_b,GBPUSD,2020-02-03,top,reversal,False,1,1
single pct_b,GBPUSD,2020-02-07,bottom,timeout,False,20,2
single pct_b,GBPUSD,2020-03-13,bottom,continuation,False,2,2
single pct_b,GBPUSD,2020-05-18,bottom,reversal,False,14,3
single pct_b,GBPUSD,2020-07-28,top,continuation,False,2,1
single pct_b,GBPUSD,2020-08-31,top,reversal,False,7,2
single pct_b,GBPUSD,2020-09-11,bottom,timeout,False,20,3
single pct_b,GBPUSD,2020-10-22,top,timeout,False,20,3
single pct_b,GBPUSD,2020-12-17,top,timeout,False,20,3
single pct_b,GBPUSD,2021-02-10,top,continuation,False,10,3
single pct_b,GBPUSD,2021-03-24,bottom,reversal,False,19,2
single pct_b,GBPUSD,2021-05-10,top,timeout,False,20,2
single pct_b,GBPUSD,2021-06-17,bottom,timeout,False,20,2
single pct_b,GBPUSD,2021-07-20,bottom,reversal,False,7,2
single pct_b,GBPUSD,2021-08-20,bottom,timeout,False,20,3
single pct_b,GBPUSD,2021-09-21,bottom,timeout,False,20,2
single pct_b,GBPUSD,2021-11-05,bottom,timeout,False,20,2
single pct_b,GBPUSD,2021-12-24,top,continuation,False,13,2
single pct_b,GBPUSD,2022-01-28,bottom,timeout,False,20,3
single pct_b,GBPUSD,2022-03-02,bottom,continuation,False,8,2
single pct_b,GBPUSD,2022-04-25,bottom,continuation,False,2,2
single pct_b,GBPUSD,2022-06-13,bottom,continuation,False,17,2
single pct_b,GBPUSD,2022-08-02,top,reversal,False,14,3
single pct_b,GBPUSD,2022-09-22,bottom,continuation,False,2,3
single pct_b,GBPUSD,2022-10-27,top,timeout,False,20,3
single pct_b,GBPUSD,2023-01-18,top,timeout,False,20,2
single pct_b,GBPUSD,2023-03-08,bottom,reversal,False,8,3
single pct_b,GBPUSD,2023-03-21,top,timeout,False,20,3
single pct_b,GBPUSD,2023-05-26,bottom,reversal,False,13,3
single pct_b,GBPUSD,2023-07-12,top,timeout,False,20,3
single pct_b,GBPUSD,2023-08-25,bottom,continuation,False,16,2
single pct_b,GBPUSD,2023-09-27,bottom,timeout,False,20,3
single pct_b,GBPUSD,2023-11-06,top,continuation,False,16,2
single pct_b,GBPUSD,2023-12-15,top,timeout,False,20,2
single pct_b,GBPUSD,2024-02-05,bottom,timeout,False,20,1
single pct_b,GBPUSD,2024-03-07,top,timeout,False,20,2
single pct_b,GBPUSD,2024-04-15,bottom,timeout,False,20,3
single pct_b,GBPUSD,2024-05-16,top,timeout,False,20,2
single pct_b,GBPUSD,2024-06-21,bottom,reversal,False,14,2
single pct_b,GBPUSD,2024-08-02,bottom,reversal,False,13,3
single pct_b,GBPUSD,2024-09-20,top,reversal,False,18,2
single pct_b,GBPUSD,2024-11-13,bottom,timeout,False,20,2
single pct_b,GBPUSD,2024-12-20,bottom,reversal,False,3,3
single pct_b,GBPUSD,2025-01-03,bottom,timeout,False,20,3
single pct_b,GBPUSD,2025-02-17,top,continuation,False,13,2
single pct_b,GBPUSD,2025-03-10,top,timeout,False,20,3
single pct_b,GBPUSD,2025-04-08,bottom,reversal,False,3,2
single pct_b,GBPUSD,2025-04-15,top,timeout,False,20,2
single pct_b,GBPUSD,2025-05-23,top,timeout,False,20,3
single pct_b,GBPUSD,2025-07-30,bottom,timeout,False,20,3
single pct_b,GBPUSD,2025-09-16,top,reversal,False,7,3
single pct_b,GBPUSD,2025-10-09,bottom,timeout,False,20,3
single pct_b,GBPUSD,2025-12-03,top,timeout,False,20,3
single pct_b,GBPUSD,2026-01-23,top,timeout,False,20,3
single pct_b,GBPUSD,2026-03-03,bottom,timeout,False,20,2
single pct_b,GBPUSD,2026-04-14,top,timeout,False,20,3
single pct_b,GBPUSD,2026-05-14,bottom,timeout,False,20,2
single pct_b,GBPUSD,2026-06-17,bottom,reversal,False,20,2
single pct_b,USDJPY,2009-02-05,top,continuation,False,13,2
single pct_b,USDJPY,2009-04-24,bottom,timeout,False,20,3
single pct_b,USDJPY,2009-06-05,top,timeout,False,20,3
single pct_b,USDJPY,2009-07-08,bottom,timeout,False,20,3
single pct_b,USDJPY,2009-08-07,top,reversal,False,16,3
single pct_b,USDJPY,2009-10-06,bottom,timeout,False,20,3
single pct_b,USDJPY,2010-01-22,bottom,timeout,False,20,3
single pct_b,USDJPY,2010-03-24,top,timeout,False,20,3
single pct_b,USDJPY,2010-05-03,top,reversal,False,3,3
single pct_b,USDJPY,2010-05-20,bottom,timeout,False,20,3
single pct_b,USDJPY,2010-06-23,bottom,continuation,False,6,2
single pct_b,USDJPY,2010-08-24,bottom,timeout,False,20,2
single pct_b,USDJPY,2010-11-10,top,continuation,False,12,2
single pct_b,USDJPY,2010-12-28,bottom,timeout,False,20,3
single pct_b,USDJPY,2011-02-01,bottom,reversal,False,10,3
single pct_b,USDJPY,2011-03-15,bottom,continuation,False,1,3
single pct_b,USDJPY,2011-07-07,top,reversal,False,3,2
single pct_b,USDJPY,2011-09-06,top,timeout,False,20,2
single pct_b,USDJPY,2011-10-12,top,reversal,False,7,1
single pct_b,USDJPY,2011-10-27,bottom,reversal,False,2,2
single pct_b,USDJPY,2011-12-30,bottom,reversal,False,18,3
single pct_b,USDJPY,2012-02-14,top,continuation,False,6,3
single pct_b,USDJPY,2012-04-10,bottom,timeout,False,20,3
single pct_b,USDJPY,2012-05-31,bottom,reversal,False,16,3
single pct_b,USDJPY,2012-07-16,bottom,timeout,False,20,2
single pct_b,USDJPY,2012-08-15,top,reversal,False,19,2
single pct_b,USDJPY,2012-09-13,bottom,reversal,False,4,3
single pct_b,USDJPY,2012-10-16,top,continuation,False,13,3
single pct_b,USDJPY,2012-11-15,top,continuation,False,19,3
single pct_b,USDJPY,2013-03-07,top,timeout,False,20,3
single pct_b,USDJPY,2013-05-09,top,reversal,False,20,3
single pct_b,USDJPY,2013-06-11,bottom,timeout,False,20,3
single pct_b,USDJPY,2013-07-26,bottom,timeout,False,20,1
single pct_b,USDJPY,2013-09-02,top,timeout,False,20,3
single pct_b,USDJPY,2013-10-02,bottom,timeout,False,20,3
single pct_b,USDJPY,2013-11-12,top,continuation,False,12,3
single pct_b,USDJPY,2013-12-18,top,timeout,False,20,3
single pct_b,USDJPY,2014-01-23,bottom,continuation,False,7,2
single pct_b,USDJPY,2014-03-03,bottom,reversal,False,3,1
single pct_b,USDJPY,2014-06-02,top,timeout,False,20,3
single pct_b,USDJPY,2014-07-30,top,timeout,False,20,3
single pct_b,USDJPY,2014-10-13,bottom,reversal,False,14,3
single pct_b,USDJPY,2014-12-05,top,reversal,False,7,3
single pct_b,USDJPY,2015-01-14,bottom,timeout,False,20,2
single pct_b,USDJPY,2015-03-06,top,timeout,False,20,2
single pct_b,USDJPY,2015-05-19,top,continuation,False,5,2
single pct_b,USDJPY,2015-07-08,bottom,timeout,False,20,3
