bucket,n_obs,reversal_rate,baseline,lift,ci_lo,ci_hi,arm
"[0,10)",198511,0.4893683473459909,0.49032578515362546,-0.0009574378076345758,-0.002660523641122696,0.0006761542638609604,suppress
"[10,20)",8320,0.49254807692307695,0.4882219393460769,0.0043261375770000665,-0.012744363524581746,0.022238221237225173,suppress
"[20,30)",18068,0.49811822005756035,0.490963395190013,0.007154824867547371,-0.007178979635861086,0.021416225581261796,suppress
"[30,40)",2742,0.49525893508388036,0.48876013414360686,0.006498800940273497,-0.024600644052915795,0.03903944400028572,suppress
"[40,50)",947,0.5100316789862724,0.4892488115498916,0.02078286743638086,-0.023744914050485007,0.06855049002349943,suppress
"[50,60)",589,0.47198641765704585,0.49046047171889523,-0.018474054061849376,-0.07405563264506838,0.04386503827055918,suppress
"[60,100]",173,0.47398843930635837,0.4845362630878031,-0.010547823781444754,-0.10747450433494544,0.10272864897276454,suppress
"[0,10)",187061,0.4888886512955667,0.49042230120419955,-0.0015336499086328614,-0.003951248691039376,0.0008354289579591334,off
"[10,20)",10944,0.4982638888888889,0.48827869155009646,0.00998519733879244,-0.005064681108352861,0.026448295065100883,off
"[20,30)",23361,0.4986515988185437,0.49050642767418673,0.008145171144356977,-0.005158785522930284,0.021709846662326684,off
"[30,40)",4678,0.4843950406156477,0.4879804021343656,-0.003585361518717911,-0.03122515082532891,0.025649610753616957,off
"[40,50)",1762,0.4965947786606129,0.48943805739754376,0.007156721263069155,-0.03207170602948622,0.0492324314955795,off
"[50,60)",1181,0.48518204911092294,0.4912907151178668,-0.006108666006943875,-0.04579628065371621,0.04026069225554966,off
"[60,100]",363,0.48484848484848486,0.48841527368329435,-0.0035667888348094867,-0.07331011967207399,0.07676360356117826,off
