datetime,open,high,low,close
2025-10-01 06:00:00,0.580383,0.581193,0.580147,0.581193
2025-10-01 07:00:00,0.581328,0.581463,0.580720,0.581429
2025-10-01 08:00:00,0.581328,0.582242,0.581328,0.581700
2025-10-01 09:00:00,0.581700,0.582038,0.581294,0.581497
2025-10-01 10:00:00,0.581328,0.581497,0.580619,0.581159
2025-10-01 11:00:00,0.581193,0.581971,0.580990,0.581564
2025-10-01 12:00:00,0.581531,0.583124,0.580889,0.582683
2025-10-01 13:00:00,0.582615,0.583328,0.582208,0.582988
2025-10-01 14:00:00,0.582886,0.583090,0.581869,0.582174
2025-10-01 15:00:00,0.582038,0.582038,0.581058,0.581226
2025-10-01 16:00:00,0.581125,0.581632,0.581125,0.581564
2025-10-01 17:00:00,0.581531,0.581937,0.581362,0.581362
2025-10-01 18:00:00,0.581362,0.582343,0.581362,0.581971
2025-10-01 19:00:00,0.582106,0.582106,0.581700,0.581835
2025-10-01 20:00:00,0.581801,0.581903,0.581497,0.581903
2025-10-01 21:00:00,0.581869,0.582004,0.580653,0.581869
2025-10-01 22:00:00,0.582140,0.582208,0.581869,0.581971
2025-10-01 23:00:00,0.582072,0.582513,0.582004,0.582276
2025-10-02 00:00:00,0.582309,0.582309,0.581429,0.581700
2025-10-02 01:00:00,0.581632,0.583703,0.581463,0.583601
2025-10-02 02:00:00,0.583703,0.583703,0.582988,0.583124
2025-10-02 03:00:00,0.583056,0.583192,0.582649,0.582920
2025-10-02 04:00:00,0.582819,0.583158,0.582615,0.583158
2025-10-02 05:00:00,0.583363,0.583567,0.583192,0.583465
2025-10-02 06:00:00,0.583635,0.584010,0.583431,0.583839
2025-10-02 07:00:00,0.583976,0.584488,0.583873,0.584180
2025-10-02 08:00:00,0.584078,0.584317,0.583907,0.584078
2025-10-02 09:00:00,0.584146,0.584146,0.583669,0.583805
2025-10-02 10:00:00,0.583635,0.583635,0.583192,0.583363
2025-10-02 11:00:00,0.583260,0.583260,0.582600,0.582852
2025-10-02 12:00:00,0.582920,0.583056,0.581950,0.582190
2025-10-02 13:00:00,0.582200,0.582785,0.581125,0.581328
2025-10-02 14:00:00,0.581260,0.581598,0.580889,0.581058
2025-10-02 15:00:00,0.581024,0.581294,0.580518,0.581294
2025-10-02 16:00:00,0.581226,0.582106,0.581226,0.582072
2025-10-02 17:00:00,0.581971,0.582140,0.581801,0.581937
2025-10-02 18:00:00,0.581971,0.582208,0.581971,0.582208
2025-10-02 19:00:00,0.582276,0.582343,0.581869,0.581937
2025-10-02 20:00:00,0.581835,0.582174,0.581734,0.581869
2025-10-02 21:00:00,0.582309,0.582309,0.581598,0.582242
2025-10-02 22:00:00,0.581971,0.581971,0.581767,0.581835
2025-10-02 23:00:00,0.581903,0.582072,0.581869,0.582072
2025-10-03 00:00:00,0.582004,0.582411,0.581640,0.582208
2025-10-03 01:00:00,0.582276,0.582649,0.581767,0.582615
2025-10-03 02:00:00,0.582581,0.582581,0.581971,0.582038
2025-10-03 03:00:00,0.582106,0.582309,0.581971,0.582208
2025-10-03 04:00:00,0.582174,0.582411,0.581598,0.581632
2025-10-03 05:00:00,0.581598,0.582276,0.581564,0.582004
2025-10-03 06:00:00,0.582038,0.582819,0.582038,0.582106
2025-10-03 07:00:00,0.582174,0.583226,0.582174,0.583226
2025-10-03 08:00:00,0.583363,0.583499,0.583192,0.583363
2025-10-03 09:00:00,0.583294,0.583601,0.582785,0.583601
2025-10-03 10:00:00,0.583601,0.583601,0.583294,0.583431
2025-10-03 11:00:00,0.583431,0.583771,0.583158,0.583567
2025-10-03 12:00:00,0.583397,0.583771,0.583124,0.583635
2025-10-03 13:00:00,0.583397,0.583431,0.582819,0.582819
2025-10-03 14:00:00,0.582751,0.583465,0.582751,0.583022
2025-10-03 15:00:00,0.582920,0.583942,0.582819,0.583839
2025-10-03 16:00:00,0.583873,0.583907,0.583499,0.583533
2025-10-03 17:00:00,0.583465,0.583669,0.582920,0.583158
2025-10-03 18:00:00,0.583090,0.583465,0.582819,0.583431
2025-10-03 19:00:00,0.583567,0.583669,0.583431,0.583567
2025-10-03 20:00:00,0.583635,0.583635,0.583260,0.583363
2025-10-05 23:00:00,0.581869,0.582615,0.581767,0.582547
2025-10-06 00:00:00,0.582615,0.583022,0.582343,0.582988
2025-10-06 01:00:00,0.582920,0.583567,0.582581,0.583533
2025-10-06 02:00:00,0.583669,0.583942,0.583363,0.583873
2025-10-06 03:00:00,0.583907,0.584078,0.583669,0.583669
2025-10-06 04:00:00,0.583737,0.583805,0.583294,0.583294
2025-10-06 05:00:00,0.583226,0.583397,0.583090,0.583226
2025-10-06 06:00:00,0.583533,0.583567,0.582886,0.583567
2025-10-06 07:00:00,0.583363,0.584010,0.582852,0.582988
2025-10-06 08:00:00,0.582954,0.582954,0.581869,0.582242
2025-10-06 09:00:00,0.582140,0.582140,0.581328,0.581700
2025-10-06 10:00:00,0.581666,0.581869,0.581226,0.581767
2025-10-06 11:00:00,0.581632,0.582276,0.581429,0.582174
2025-10-06 12:00:00,0.582343,0.583294,0.582072,0.583294
2025-10-06 13:00:00,0.583226,0.584044,0.583056,0.583907
2025-10-06 14:00:00,0.583805,0.584317,0.583805,0.584010
2025-10-06 15:00:00,0.584010,0.584112,0.583703,0.583839
2025-10-06 16:00:00,0.583839,0.584078,0.583635,0.584078
2025-10-06 17:00:00,0.584078,0.584385,0.584078,0.584146
2025-10-06 18:00:00,0.584283,0.584419,0.584180,0.584317
2025-10-06 19:00:00,0.584317,0.584659,0.584283,0.584283
2025-10-06 20:00:00,0.584215,0.584522,0.584215,0.584385
2025-10-06 21:00:00,0.583567,0.584249,0.583533,0.584215
2025-10-06 22:00:00,0.584180,0.584215,0.583907,0.584112
2025-10-06 23:00:00,0.584112,0.584351,0.583942,0.584180
2025-10-07 00:00:00,0.584180,0.584283,0.583090,0.583124
2025-10-07 01:00:00,0.582920,0.583669,0.582649,0.583363
2025-10-07 02:00:00,0.583363,0.583907,0.583363,0.583533
2025-10-07 03:00:00,0.583533,0.583873,0.583180,0.583226
2025-10-07 04:00:00,0.583260,0.583328,0.582751,0.582852
2025-10-07 05:00:00,0.582785,0.582886,0.582208,0.582276
2025-10-07 06:00:00,0.582072,0.582140,0.581531,0.581903
2025-10-07 07:00:00,0.581666,0.581666,0.580754,0.580889
2025-10-07 08:00:00,0.580855,0.581159,0.580630,0.580922
2025-10-07 09:00:00,0.580990,0.581429,0.580855,0.581429
2025-10-07 10:00:00,0.581429,0.581463,0.581193,0.581226
2025-10-07 11:00:00,0.581091,0.581260,0.580585,0.580720
2025-10-07 12:00:00,0.580889,0.580990,0.580383,0.580956
2025-10-07 13:00:00,0.580922,0.581666,0.580830,0.581294
2025-10-07 14:00:00,0.581226,0.581294,0.580686,0.580922
2025-10-07 15:00:00,0.580855,0.581159,0.580653,0.580686
2025-10-07 16:00:00,0.580821,0.580990,0.580552,0.580653
2025-10-07 17:00:00,0.580619,0.581058,0.580552,0.580653
2025-10-07 18:00:00,0.580619,0.580619,0.579880,0.579940
2025-10-07 19:00:00,0.579930,0.580114,0.579609,0.579845
2025-10-07 20:00:00,0.579878,0.580114,0.579878,0.580080
2025-10-07 21:00:00,0.580046,0.580215,0.579710,0.580215
2025-10-07 22:00:00,0.580181,0.580316,0.580114,0.580215
2025-10-07 23:00:00,0.580282,0.580282,0.579878,0.579878
2025-10-08 00:00:00,0.579878,0.580013,0.579408,0.579912
2025-10-08 01:00:00,0.575772,0.576070,0.574119,0.575208
2025-10-08 02:00:00,0.575076,0.575142,0.574449,0.574911
2025-10-08 03:00:00,0.574911,0.575076,0.574251,0.575076
2025-10-08 04:00:00,0.575010,0.575010,0.574317,0.574515
2025-10-08 05:00:00,0.574415,0.574680,0.574053,0.574053
2025-10-08 06:00:00,0.574548,0.574779,0.573921,0.574251
2025-10-08 07:00:00,0.574284,0.575904,0.574284,0.575275
2025-10-08 08:00:00,0.575242,0.576502,0.575242,0.575871
2025-10-08 09:00:00,0.575971,0.576967,0.575937,0.576336
2025-10-08 10:00:00,0.576269,0.577501,0.576269,0.577501
2025-10-08 11:00:00,0.577567,0.577901,0.577367,0.577868
2025-10-08 12:00:00,0.577834,0.578202,0.577701,0.578068
2025-10-08 13:00:00,0.578102,0.578838,0.577767,0.577834
2025-10-08 14:00:00,0.577767,0.578402,0.577734,0.578402
2025-10-08 15:00:00,0.578302,0.578536,0.577834,0.577868
2025-10-08 16:00:00,0.577801,0.577868,0.577467,0.577868
2025-10-08 17:00:00,0.577767,0.578102,0.577634,0.577834
