datetime,open,high,low,close
2025-09-19 05:00:00,1.379590,1.379910,1.378200,1.379550
2025-09-19 06:00:00,1.379590,1.380230,1.378700,1.379530
2025-09-19 07:00:00,1.379450,1.380000,1.379100,1.379760
2025-09-19 08:00:00,1.379870,1.379910,1.378900,1.379420
2025-09-19 09:00:00,1.379350,1.379600,1.378700,1.379170
2025-09-19 10:00:00,1.379170,1.379950,1.378600,1.379580
2025-09-19 11:00:00,1.379540,1.380450,1.379000,1.380290
2025-09-19 12:00:00,1.380000,1.380430,1.379400,1.380010
2025-09-19 13:00:00,1.380010,1.380050,1.379140,1.379460
2025-09-19 14:00:00,1.379430,1.380250,1.378790,1.379710
2025-09-19 15:00:00,1.379710,1.380650,1.379000,1.380500
2025-09-19 16:00:00,1.380500,1.381960,1.380100,1.381230
2025-09-19 17:00:00,1.381230,1.382000,1.379800,1.381220
2025-09-19 18:00:00,1.381240,1.381800,1.380300,1.380840
2025-09-19 19:00:00,1.380810,1.381370,1.380200,1.381000
2025-09-19 20:00:00,1.381240,1.381300,1.380100,1.380710
2025-09-22 09:00:00,1.378090,1.378520,1.377700,1.378230
2025-09-22 10:00:00,1.378210,1.379600,1.377800,1.378740
2025-09-22 11:00:00,1.378600,1.379730,1.377900,1.379520
2025-09-22 12:00:00,1.379520,1.379960,1.378900,1.379410
2025-09-22 13:00:00,1.379410,1.379540,1.378700,1.379510
2025-09-22 14:00:00,1.379500,1.380000,1.379100,1.379800
2025-09-22 15:00:00,1.379800,1.380000,1.378700,1.379690
2025-09-22 16:00:00,1.379690,1.379950,1.378900,1.379800
2025-09-22 17:00:00,1.379790,1.381000,1.379400,1.380790
2025-09-22 18:00:00,1.380810,1.380860,1.379500,1.380300
2025-09-22 19:00:00,1.380520,1.381200,1.379800,1.380880
2025-09-22 20:00:00,1.380880,1.381000,1.379800,1.380590
2025-09-22 21:00:00,1.380630,1.381040,1.379900,1.380670
2025-09-22 22:00:00,1.380660,1.381410,1.379400,1.379740
2025-09-22 23:00:00,1.379730,1.381510,1.378900,1.380740
2025-09-23 00:00:00,1.380710,1.381670,1.380300,1.380940
2025-09-23 01:00:00,1.380940,1.381850,1.380400,1.381500
2025-09-23 02:00:00,1.381200,1.382900,1.380900,1.382740
2025-09-23 03:00:00,1.382740,1.382810,1.381600,1.382190
2025-09-23 04:00:00,1.382190,1.382300,1.381200,1.382070
2025-09-23 05:00:00,1.382070,1.382430,1.381600,1.382190
2025-09-23 06:00:00,1.382190,1.383170,1.381200,1.381300
2025-09-23 07:00:00,1.381690,1.382270,1.381200,1.382020
2025-09-23 08:00:00,1.382100,1.382400,1.381600,1.382350
2025-09-23 09:00:00,1.382330,1.382600,1.381900,1.382510
2025-09-23 10:00:00,1.382500,1.383200,1.381900,1.382770
2025-09-23 11:00:00,1.382720,1.383140,1.382000,1.382420
2025-09-23 12:00:00,1.382430,1.383140,1.382000,1.382790
2025-09-23 13:00:00,1.382780,1.383140,1.382000,1.382620
2025-09-23 14:00:00,1.382620,1.383020,1.382000,1.383020
2025-09-23 15:00:00,1.382970,1.383120,1.381800,1.382580
2025-09-23 16:00:00,1.382570,1.383190,1.381900,1.383070
2025-09-23 17:00:00,1.383080,1.384300,1.382800,1.384000
2025-09-23 18:00:00,1.384240,1.384450,1.382700,1.383190
2025-09-23 19:00:00,1.383160,1.383320,1.382100,1.382940
2025-09-23 20:00:00,1.382940,1.383220,1.382000,1.382520
2025-09-23 21:00:00,1.382300,1.383100,1.381900,1.382640
2025-09-23 22:00:00,1.382620,1.383110,1.381300,1.381730
2025-09-23 23:00:00,1.381710,1.382970,1.380700,1.382330
2025-09-24 00:00:00,1.382320,1.383660,1.381700,1.382680
2025-09-24 01:00:00,1.382710,1.383700,1.382000,1.383530
2025-09-24 02:00:00,1.383490,1.383970,1.382000,1.382880
2025-09-24 03:00:00,1.382870,1.384190,1.382200,1.384020
2025-09-24 04:00:00,1.384020,1.385000,1.383500,1.384940
2025-09-24 05:00:00,1.384930,1.384960,1.383400,1.383960
2025-09-24 06:00:00,1.383970,1.384170,1.382900,1.383300
2025-09-24 07:00:00,1.383370,1.383800,1.382800,1.383400
2025-09-24 08:00:00,1.383410,1.383780,1.382800,1.383500
2025-09-24 09:00:00,1.383740,1.383950,1.383100,1.383840
2025-09-24 10:00:00,1.383840,1.384660,1.383300,1.384270
2025-09-24 11:00:00,1.384270,1.384910,1.383400,1.384290
2025-09-24 12:00:00,1.384270,1.384400,1.383500,1.384000
2025-09-24 13:00:00,1.384260,1.384600,1.383700,1.384520
2025-09-24 14:00:00,1.384520,1.384670,1.383900,1.384460
2025-09-24 15:00:00,1.384420,1.384810,1.383900,1.384580
2025-09-24 16:00:00,1.384570,1.385410,1.383900,1.385350
2025-09-24 17:00:00,1.385330,1.386030,1.384600,1.385100
2025-09-24 18:00:00,1.385320,1.386430,1.384900,1.386030
2025-09-24 19:00:00,1.386030,1.387530,1.385500,1.387080
2025-09-24 20:00:00,1.387070,1.387600,1.386500,1.387250
2025-09-24 21:00:00,1.387240,1.387900,1.386500,1.387160
2025-09-24 22:00:00,1.387120,1.387900,1.386200,1.387620
2025-09-24 23:00:00,1.387620,1.388540,1.386800,1.387620
2025-09-25 00:00:00,1.387630,1.389640,1.387100,1.388600
2025-09-25 01:00:00,1.388840,1.389770,1.388000,1.389460
2025-09-25 02:00:00,1.389460,1.390650,1.389100,1.390610
2025-09-25 03:00:00,1.390610,1.390680,1.389200,1.390070
2025-09-25 04:00:00,1.390050,1.390550,1.389500,1.390370
2025-09-25 05:00:00,1.390420,1.390670,1.389300,1.390230
2025-09-25 06:00:00,1.390240,1.390260,1.389000,1.389340
2025-09-25 07:00:00,1.389440,1.390000,1.389000,1.389740
2025-09-25 08:00:00,1.389880,1.389880,1.389100,1.389580
2025-09-25 09:00:00,1.389610,1.389870,1.389200,1.389630
2025-09-25 10:00:00,1.389610,1.389700,1.388900,1.389190
2025-09-25 11:00:00,1.389200,1.389550,1.388700,1.389120
2025-09-25 12:00:00,1.389120,1.389120,1.388200,1.388600
2025-09-25 13:00:00,1.388780,1.388870,1.388000,1.388400
2025-09-25 14:00:00,1.388560,1.388920,1.388100,1.388670
2025-09-25 15:00:00,1.388700,1.389620,1.388300,1.389450
2025-09-25 16:00:00,1.389450,1.389920,1.388700,1.389770
2025-09-25 17:00:00,1.389720,1.390210,1.389100,1.389930
2025-09-25 18:00:00,1.389950,1.390210,1.389200,1.389320
2025-09-25 19:00:00,1.389290,1.389660,1.389070,1.389260
2025-09-25 20:00:00,1.389280,1.389600,1.388950,1.389480
2025-09-25 21:00:00,1.389480,1.390000,1.389080,1.389390
2025-09-25 22:00:00,1.389370,1.391280,1.388800,1.390590
2025-09-25 23:00:00,1.390590,1.392440,1.390000,1.391700
2025-09-26 00:00:00,1.391710,1.392360,1.390800,1.392170
2025-09-26 01:00:00,1.392150,1.393010,1.391700,1.392410
2025-09-26 02:00:00,1.392420,1.393700,1.391900,1.393500
2025-09-26 03:00:00,1.393500,1.394340,1.393000,1.394130
2025-09-26 04:00:00,1.394130,1.394940,1.393500,1.394220
2025-09-26 05:00:00,1.394260,1.394700,1.393400,1.394240
