datetime,open,high,low,close
2025-10-01 02:00:00,0.796220,0.796540,0.796140,0.796210
2025-10-01 03:00:00,0.796220,0.796400,0.795930,0.795990
2025-10-01 04:00:00,0.795990,0.796000,0.794160,0.794310
2025-10-01 05:00:00,0.794340,0.795310,0.793710,0.794860
2025-10-01 06:00:00,0.794880,0.794950,0.793200,0.793570
2025-10-01 07:00:00,0.793600,0.795070,0.792810,0.794740
2025-10-01 08:00:00,0.794740,0.795900,0.793940,0.795770
2025-10-01 09:00:00,0.795750,0.796810,0.795090,0.796560
2025-10-01 10:00:00,0.796560,0.798450,0.796500,0.797870
2025-10-01 11:00:00,0.797900,0.798410,0.797370,0.798290
2025-10-01 12:00:00,0.798280,0.798850,0.795750,0.797350
2025-10-01 13:00:00,0.797350,0.797640,0.796200,0.796470
2025-10-01 14:00:00,0.796520,0.798530,0.796210,0.797060
2025-10-01 15:00:00,0.797070,0.798790,0.796960,0.798340
2025-10-01 16:00:00,0.798290,0.799010,0.797950,0.798210
2025-10-01 17:00:00,0.798200,0.798240,0.797530,0.797800
2025-10-01 18:00:00,0.797810,0.798030,0.796610,0.797000
2025-10-01 19:00:00,0.797040,0.797240,0.796590,0.796970
2025-10-01 20:00:00,0.796950,0.797410,0.796310,0.796630
2025-10-01 21:00:00,0.796630,0.797000,0.795870,0.796360
2025-10-01 22:00:00,0.796080,0.797000,0.795970,0.796810
2025-10-01 23:00:00,0.796850,0.797000,0.796660,0.796940
2025-10-02 00:00:00,0.796940,0.797500,0.796870,0.797070
2025-10-02 01:00:00,0.797090,0.797350,0.796140,0.796220
2025-10-02 02:00:00,0.796210,0.796450,0.796060,0.796260
2025-10-02 03:00:00,0.796290,0.796620,0.796160,0.796550
2025-10-02 04:00:00,0.796550,0.796830,0.796500,0.796670
2025-10-02 05:00:00,0.796670,0.797000,0.796450,0.796750
2025-10-02 06:00:00,0.796740,0.797530,0.796230,0.796890
2025-10-02 07:00:00,0.796870,0.797130,0.795920,0.796550
2025-10-02 08:00:00,0.796550,0.796840,0.795830,0.796190
2025-10-02 09:00:00,0.796220,0.796250,0.795260,0.795640
2025-10-02 10:00:00,0.795640,0.796410,0.795310,0.795330
2025-10-02 11:00:00,0.795330,0.796000,0.795300,0.795720
2025-10-02 12:00:00,0.795720,0.796920,0.795090,0.796640
2025-10-02 13:00:00,0.796630,0.798230,0.796320,0.797840
2025-10-02 14:00:00,0.797860,0.798610,0.797800,0.798290
2025-10-02 15:00:00,0.798270,0.800030,0.798270,0.799340
2025-10-02 16:00:00,0.799330,0.799490,0.798060,0.798080
2025-10-02 17:00:00,0.798110,0.798430,0.797750,0.798380
2025-10-02 18:00:00,0.798380,0.798570,0.797480,0.797610
2025-10-02 19:00:00,0.797640,0.797690,0.797100,0.797650
2025-10-02 20:00:00,0.797640,0.797970,0.797370,0.797810
2025-10-02 21:00:00,0.797540,0.798260,0.796650,0.797210
2025-10-02 22:00:00,0.797130,0.797670,0.796780,0.797520
2025-10-02 23:00:00,0.797490,0.797540,0.797000,0.797040
2025-10-03 00:00:00,0.797040,0.797630,0.797020,0.797350
2025-10-03 01:00:00,0.797370,0.797970,0.797030,0.797270
2025-10-03 02:00:00,0.797280,0.797810,0.797210,0.797720
2025-10-03 03:00:00,0.797700,0.798000,0.797400,0.797410
2025-10-03 04:00:00,0.797430,0.797740,0.797220,0.797720
2025-10-03 05:00:00,0.797710,0.798010,0.797530,0.797900
2025-10-03 06:00:00,0.797910,0.797970,0.797070,0.797650
2025-10-03 07:00:00,0.797650,0.798000,0.796690,0.796950
2025-10-03 08:00:00,0.796950,0.797440,0.795740,0.796230
2025-10-03 09:00:00,0.796190,0.797150,0.796160,0.796760
2025-10-03 10:00:00,0.796760,0.797200,0.796490,0.796570
2025-10-03 11:00:00,0.796570,0.797000,0.795820,0.796190
2025-10-03 12:00:00,0.796180,0.796600,0.795640,0.795740
2025-10-03 13:00:00,0.795740,0.796670,0.795450,0.796520
2025-10-03 14:00:00,0.796510,0.796510,0.794790,0.795230
2025-10-03 15:00:00,0.795220,0.795610,0.794680,0.794870
2025-10-03 16:00:00,0.794880,0.795570,0.794670,0.795240
2025-10-03 17:00:00,0.795260,0.795970,0.795000,0.795840
2025-10-03 18:00:00,0.795840,0.796130,0.795390,0.795410
2025-10-03 19:00:00,0.795390,0.795600,0.795190,0.795370
2025-10-03 20:00:00,0.795370,0.795540,0.794470,0.794860
2025-10-05 23:00:00,0.797460,0.797730,0.796950,0.797210
2025-10-06 00:00:00,0.797210,0.797370,0.796390,0.796480
2025-10-06 01:00:00,0.796500,0.797150,0.795930,0.796100
2025-10-06 02:00:00,0.796090,0.796130,0.795400,0.795900
2025-10-06 03:00:00,0.795900,0.795930,0.795300,0.795670
2025-10-06 04:00:00,0.795680,0.796110,0.795440,0.795950
2025-10-06 05:00:00,0.795960,0.796410,0.795550,0.796030
2025-10-06 06:00:00,0.796030,0.797930,0.795840,0.797660
2025-10-06 07:00:00,0.797660,0.799100,0.796960,0.799000
2025-10-06 08:00:00,0.799000,0.799340,0.797910,0.798630
2025-10-06 09:00:00,0.798610,0.799240,0.798400,0.798810
2025-10-06 10:00:00,0.798790,0.799400,0.798350,0.798350
2025-10-06 11:00:00,0.798400,0.798810,0.797610,0.797890
2025-10-06 12:00:00,0.797920,0.797960,0.797080,0.797150
2025-10-06 13:00:00,0.797180,0.797680,0.796310,0.796620
2025-10-06 14:00:00,0.796620,0.796900,0.795150,0.795350
2025-10-06 15:00:00,0.795330,0.795800,0.794770,0.795420
2025-10-06 16:00:00,0.795410,0.795840,0.795000,0.795050
2025-10-06 17:00:00,0.795060,0.795540,0.795040,0.795500
2025-10-06 18:00:00,0.795480,0.795580,0.795000,0.795280
2025-10-06 19:00:00,0.795300,0.795330,0.794750,0.794940
2025-10-06 20:00:00,0.794930,0.795180,0.794350,0.794550
2025-10-06 21:00:00,0.794450,0.795680,0.794390,0.794680
2025-10-06 22:00:00,0.794500,0.795520,0.794220,0.794960
