pair,side,date,month,z,hit,base_z,base_hit
EURUSD,top,2011-02-28,2011-02,-1.8664606946985052,0.0,0.01595516831591971,0.5113735783027121
EURUSD,top,2014-03-24,2014-03,0.20847220041494355,1.0,0.01595516831591971,0.5113735783027121
EURUSD,top,2017-06-26,2017-06,-1.7061519251819408,0.0,0.01595516831591971,0.5113735783027121
EURUSD,top,2017-11-13,2017-11,-0.826737872015523,0.0,0.01595516831591971,0.5113735783027121
EURUSD,top,2018-03-19,2018-03,0.8339885504053508,1.0,0.01595516831591971,0.5113735783027121
EURUSD,top,2020-06-22,2020-06,-1.8816647616060846,0.0,0.01595516831591971,0.5113735783027121
EURUSD,top,2020-12-14,2020-12,0.21725755657352155,1.0,0.01595516831591971,0.5113735783027121
EURUSD,bottom,2009-12-21,2009-12,-1.491147818868955,0.0,-0.01595516831591971,0.4884076990376203
EURUSD,bottom,2011-09-26,2011-09,-0.03910144738002108,0.0,-0.01595516831591971,0.4884076990376203
EURUSD,bottom,2011-12-05,2011-12,-0.49017947618795993,0.0,-0.01595516831591971,0.4884076990376203
EURUSD,bottom,2012-05-28,2012-05,-1.0957339824717793,0.0,-0.01595516831591971,0.4884076990376203
EURUSD,bottom,2014-09-22,2014-09,-0.7835066986579988,0.0,-0.01595516831591971,0.4884076990376203
EURUSD,bottom,2015-01-12,2015-01,-2.6897485862589146,0.0,-0.01595516831591971,0.4884076990376203
GBPUSD,top,2011-02-14,2011-02,-0.7174881927545627,0.0,0.0020128697460611434,0.48250218722659666
GBPUSD,top,2012-10-01,2012-10,0.18598234317805587,1.0,0.0020128697460611434,0.48250218722659666
GBPUSD,top,2012-12-24,2012-12,1.2964246529518415,1.0,0.0020128697460611434,0.48250218722659666
GBPUSD,top,2014-03-24,2014-03,-0.6270403963665779,0.0,0.0020128697460611434,0.48250218722659666
GBPUSD,top,2014-06-02,2014-06,-0.4163062941558447,0.0,0.0020128697460611434,0.48250218722659666
GBPUSD,top,2017-09-25,2017-09,0.6010003332981595,1.0,0.0020128697460611434,0.48250218722659666
GBPUSD,top,2018-03-05,2018-03,0.05361930298381976,1.0,0.0020128697460611434,0.48250218722659666
GBPUSD,top,2021-01-18,2021-01,-0.8075028969122563,0.0,0.0020128697460611434,0.48250218722659666
